"Table 2-8:  U.S. Greenhouse Gas Emissions and Removals (Net Flux) from Land Use, Land-Use Change, and Forestry (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Percent Change Since 1990
Changes in all Ecosystem Carbon Stocksf,35.3,34.8,34.3,32.5,30.1,30.3,28.7,28.3,24.6,25.3,22.1,21.7,21.3,21.5,21.0,21.8,20.5,21.6,21.4,23.1,22.7,22.8,20.9,22.1,24.0,21.2,23.7,23.8,25.2,25.4,28.7,24.5,25.6,-0.3
Wetlands Remaining Wetlands,36.8,36.8,36.9,37.2,37.3,37.5,37.4,37.7,38.0,38.3,38.5,39.3,39.3,39.3,39.4,39.4,48.1,48.5,48.6,48.7,48.7,38.6,38.2,38.2,38.2,38.2,38.2,38.3,38.2,38.1,38.1,38.1,38.1,0.0
Changes in Organic Soil Carbon Stocks in Peatlands,1.1,1.0,0.9,1.0,0.9,1.1,0.9,1.1,1.1,1.2,1.3,1.2,1.0,1.0,1.2,1.1,0.9,1.0,1.0,1.0,1.0,0.9,0.8,0.8,0.8,0.8,0.7,0.8,0.7,0.6,0.6,0.5,0.6,-0.5
Non-CO2 Emissions from Peatlands Remaining Peatlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
"Changes in Biomass, DOM, and Soil Carbon Stocks in Coastal Wetlands",-10.8,-10.8,-10.8,-10.8,-10.8,-10.8,-10.8,-10.8,-10.8,-10.8,-10.8,-10.1,-10.1,-10.1,-10.1,-10.1,-1.2,-0.9,-0.9,-0.9,-0.8,-10.8,-11.1,-11.1,-11.1,-11.1,-11.1,-11.1,-11.1,-11.1,-11.1,-11.1,-11.1,0.0
CH4 Emissions from Coastal Wetlands Remaining Coastal Wetlands,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,0.0
N2O Emissions from Coastal Wetlands Remaining Coastal Wetlands,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CH4 Emissions from Flooded Land Remaining Flooded Land,42.3,42.4,42.5,42.7,42.8,42.9,43.0,43.1,43.3,43.5,43.6,43.8,43.9,43.9,43.9,44.0,44.0,44.0,44.1,44.1,44.1,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,0.0
Land Converted to Wetlands,7.2,6.8,6.5,5.9,5.4,5.0,4.7,4.4,3.9,3.1,2.9,2.3,2.0,1.9,1.8,1.8,1.6,1.6,1.2,1.2,1.1,0.6,0.6,0.5,0.5,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,-0.9
"Changes in Biomass, DOM, and Soil Carbon Stocks in Land Converted to Coastal Wetlands",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
CH4 Emissions from Land Converted to Coastal Wetlands,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-0.4
Changes in Land Converted to Flooded Land,3.6,3.4,3.2,2.8,2.6,2.3,2.2,2.0,1.8,1.3,1.2,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,-0.9
CH4 Emissions from Land Converted to Flooded Land,2.9,2.7,2.5,2.3,2.1,1.9,1.8,1.6,1.4,1.0,0.9,0.7,0.5,0.5,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,-0.9
Settlements Remaining Settlements,-109.1,-109.7,-107.6,-106.5,-104.8,-104.3,-105.3,-105.7,-107.8,-110.3,-111.1,-112.8,-112.1,-113.0,-113.9,-115.2,-115.8,-117.0,-120.2,-122.2,-123.5,-123.8,-123.9,-125.2,-126.2,-126.0,-125.6,-130.7,-131.0,-131.5,-131.8,-132.3,-132.3,0.2
Changes in Organic Soil Carbon Stocks,9.9,9.9,9.9,9.9,9.8,9.9,9.9,9.8,9.8,9.8,9.8,9.4,9.4,9.6,9.8,10.1,10.3,10.6,10.8,11.0,11.4,11.6,11.9,12.3,12.8,13.1,13.5,13.9,14.4,14.6,15.1,15.4,15.4,0.6
Changes in Settlement Tree Carbon Stocks,-96.6,-97.7,-98.7,-100.2,-101.6,-103.2,-104.8,-106.3,-107.5,-108.9,-110.1,-111.2,-112.1,-113.8,-115.5,-117.0,-118.5,-120.0,-121.6,-123.0,-124.4,-125.6,-126.4,-127.8,-129.1,-130.2,-131.4,-133.2,-134.4,-135.6,-136.7,-137.8,-138.5,0.4
N2O Emissions from Settlement Soilsh,2.1,2.1,2.3,2.5,2.5,2.5,2.6,2.5,2.1,2.2,2.6,2.6,2.3,2.4,3.1,3.1,3.2,3.2,3.2,3.0,2.3,2.5,2.3,2.4,2.4,2.3,2.3,2.4,2.4,2.5,2.5,2.5,2.5,0.2
Changes in Yard Trimming and Food Scrap Carbon Stocks in Landfills,-24.5,-24.0,-21.0,-18.6,-15.5,-13.5,-13.0,-11.8,-12.2,-13.4,-13.4,-13.6,-11.8,-11.3,-11.4,-11.4,-10.7,-10.7,-12.6,-13.3,-12.7,-12.3,-11.7,-12.1,-12.3,-11.1,-10.0,-13.8,-13.4,-13.1,-12.8,-12.5,-11.8,-0.5
Land Converted to Settlements,57.2,58.6,59.9,61.6,63.2,64.9,66.7,68.6,70.3,71.9,73.7,75.1,76.1,76.6,76.9,77.1,77.1,77.3,77.2,77.0,76.7,76.3,75.9,75.3,74.8,74.0,73.0,72.6,71.4,70.2,68.8,68.2,68.2,0.2
Changes in all Ecosystem Carbon Stocksf,57.2,58.6,59.9,61.6,63.2,64.9,66.7,68.6,70.3,71.9,73.7,75.1,76.1,76.6,76.9,77.1,77.1,77.3,77.2,77.0,76.7,76.3,75.9,75.3,74.8,74.0,73.0,72.6,71.4,70.2,68.8,68.2,68.2,0.2
LULUCF Carbon Stock Changei,58.0,56.6,53.7,54.4,57.4,53.5,56.6,53.1,54.1,57.9,63.1,56.4,66.9,61.9,76.7,68.9,61.9,65.9,60.3,64.1,55.2,60.1,62.1,62.7,56.7,76.0,57.0,65.9,62.8,58.0,68.4,72.9,67.6,-0.1
LULUCF Emissionsj,53.1,52.2,50.5,50.7,52.6,50.1,51.9,49.7,50.5,52.5,55.7,51.5,58.1,55.1,63.1,58.5,54.5,57.0,53.5,55.7,50.8,53.6,55.2,55.6,51.7,63.7,51.9,57.6,55.5,52.5,59.3,62.1,58.4,0.2
CH4,4.8,4.4,3.3,3.7,4.8,3.4,4.8,3.4,3.6,5.3,7.3,4.9,8.9,6.8,13.6,10.3,7.4,8.9,6.7,8.4,4.4,6.5,6.9,7.2,5.0,12.3,5.0,8.2,7.3,5.5,9.1,10.7,9.1,0.1
N2O,-1034.7,-1045.6,-1061.1,-1045.7,-1062.7,-1033.8,-1067.8,-1038.3,-1050.5,-1026.3,-1046.8,-1036.1,-991.8,-1019.8,-936.9,-976.6,-1013.9,-966.3,-973.1,-915.0,-941.6,-1001.9,-991.3,-949.4,-980.4,-896.2,-973.8,-991.9,-978.3,-921.6,-972.8,-983.4,-921.8,0.9
LULUCF Sector Net Totalk,-976.7,-989.0,-1007.4,-991.3,-1005.2,-980.2,-1011.2,-985.2,-996.3,-968.5,-983.7,-979.8,-924.8,-957.9,-860.2,-907.7,-951.9,-900.3,-912.8,-850.9,-886.3,-941.7,-929.2,-886.6,-923.7,-820.2,-916.8,-926.0,-915.5,-863.6,-904.4,-910.6,-854.2,-0.1
+ Absolute value does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Includes the net changes to carbon stocks stored in all forest ecosystem pools (estimates include carbon stock changes from drained organic soils from both forest land remaining forest land and land converted to forest land) and harvested wood products.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Estimates include emissions from fires on both forest land remaining forest land and land converted to forest land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Estimates include emissions from N fertilizer additions on both forest land remaining forest land and land converted to forest land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Estimates include CH4 and N2O emissions from drained organic soils on both forest land remaining forest land and land converted to forest land. Carbon stock changes from drained organic soils are included with the forest land remaining forest land forest ecosystem pools.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e Includes the net changes to carbon stocks stored in all forest ecosystem pools.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f Includes changes in mineral and organic soil carbon stocks for all land use conversions to cropland, grassland, and settlements. Also includes aboveground/belowground biomass, dead wood, and litter carbon stock changes for conversion of forest land to cropland, grassland, and settlements.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g Estimates include CH4 and N2O emissions from fires on both grassland remaining grassland and land converted to grassland.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h Estimates include N2O emissions from N fertilizer additions on both settlements remaining settlements and land converted to settlements because it is not possible to separate the activity data at this time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i LULUCF carbon stock change includes any carbon stock gains and losses from all land use and land-use conversion categories.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"j LULUCF emissions subtotal includes the CH4 and N2O emissions reported for peatlands remaining peatlands, forest fires, drained organic soils, grassland fires, and coastal wetlands remaining coastal wetlands; CH4 emissions from flooded land remaining flooded land, and land converted to flooded land, and land converted to coastal wetlands; and N2O emissions from forest soils and settlement soils. Emissions values are included in land-use category rows. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k The LULUCF sector net total is the net sum of all LULUCF CH4 and N2O emissions to the atmosphere plus LULUCF net carbon stock changes in units of MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate net sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
