Table 2-10:  U.S. Greenhouse Gas Emissions Allocated to Economic Sectors (MMT CO2 Eq. and Percent of Total in 2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Percent of Total Emissionsa
Industry,1723.3,1702.9,1729.3,1701.0,1719.7,1741.8,1762.1,1765.4,1757.8,1703.9,1699.1,1631.4,1613.8,1593.6,1639.8,1587.3,1624.5,1611.6,1571.7,1415.5,1488.6,1488.4,1473.2,1533.8,1526.9,1506.1,1456.2,1478.4,1541.9,1531.8,1435.9,1455.8,1452.5,22.9%
CO2 from Fossil Fuel Combustion,833.1,823.9,846.3,848.3,847.6,864.3,883.9,878.6,863.4,823.4,847.4,825.4,815.8,808.6,828.6,796.8,813.9,806.7,777.1,705.4,744.5,746.6,745.9,780.0,774.9,751.8,748.2,740.6,770.7,770.1,722.9,740.7,761.8,12.0%
Natural Gas Systems,251.2,255.7,252.6,252.1,254.4,245.1,241.8,243.7,238.7,235.6,239.1,239.8,238.2,237.1,239.4,236.5,245.2,243.6,247.5,233.5,226.4,220.9,215.7,216.4,214.8,216.4,211.4,214.8,223.0,227.3,217.0,210.4,209.7,3.3%
Non-Energy Use of Fuels,83.9,87.7,92.1,80.1,88.9,88.4,85.7,92.3,104.4,111.9,102.0,101.2,100.5,96.2,114.5,107.2,107.4,95.0,92.6,78.4,77.9,77.3,80.9,94.2,81.4,94.1,87.6,97.3,108.9,97.4,89.9,103.5,94.3,1.5%
Petroleum Systems,59.0,59.3,58.3,58.6,57.5,58.2,60.3,61.4,59.3,56.4,57.7,58.2,57.5,58.8,59.7,58.5,63.0,62.7,66.7,61.9,65.8,71.0,73.8,87.4,94.1,92.4,72.6,84.3,93.8,97.8,82.3,72.8,61.6,1.0%
Coal Mining,112.7,109.0,106.0,90.4,91.3,89.9,89.6,89.1,89.4,84.1,80.6,80.4,75.5,75.6,77.3,75.6,77.1,76.6,88.8,93.2,95.9,83.6,76.8,76.2,76.3,72.1,63.2,64.5,62.2,56.0,48.3,47.1,46.1,0.7%
Cement Production,33.5,32.7,33.0,34.8,36.3,37.1,37.3,38.6,39.5,40.2,41.4,41.6,43.2,43.3,45.9,46.2,46.9,45.5,41.4,29.6,31.4,32.2,35.3,36.4,39.4,39.9,39.4,40.3,39.0,40.9,40.7,41.3,41.9,0.7%
Iron and Steel Production,104.8,95.2,96.0,91.7,94.6,98.4,96.4,97.6,91.2,89.0,90.5,79.8,75.8,72.7,72.3,70.1,72.8,74.5,70.0,45.1,58.6,63.0,57.3,55.2,58.2,48.0,43.6,40.8,42.9,43.1,37.7,41.9,40.7,0.6%
Substitution of Ozone Depleting Substances,0.0,0.0,0.0,0.1,0.1,1.3,2.7,3.1,3.4,3.8,3.8,4.0,5.2,6.6,7.3,8.0,8.7,9.5,10.3,12.8,15.8,17.7,19.4,21.1,22.9,25.4,27.7,30.0,31.9,33.1,33.9,32.2,33.4,0.5%
Petrochemical Production,20.1,21.4,22.2,22.7,24.6,25.8,26.8,28.1,28.4,30.0,29.5,26.3,27.2,27.1,29.5,26.9,27.3,27.8,24.4,23.5,27.0,26.1,26.1,25.9,25.6,27.2,26.8,27.3,27.2,28.5,27.9,30.7,28.8,0.5%
Landfills (Industrial),12.2,12.4,12.6,12.9,13.2,13.6,13.9,14.3,14.6,14.9,15.2,15.5,15.6,15.8,15.9,16.1,16.1,16.2,16.4,16.5,16.6,17.0,17.4,17.8,18.0,18.3,18.5,18.6,18.7,18.8,18.9,18.9,18.9,0.3%
Ammonia Production,14.4,14.7,15.1,14.5,15.6,14.9,15.2,15.4,15.6,14.3,13.4,10.3,11.7,9.8,10.6,10.2,9.8,10.3,9.4,9.3,9.8,9.0,10.0,9.9,10.6,10.1,10.2,12.5,12.7,12.4,13.0,12.2,12.6,0.2%
Lime Production,11.7,11.5,11.9,12.3,12.7,13.5,14.2,14.5,14.8,14.4,14.3,13.7,13.2,13.9,14.6,14.6,15.2,14.7,14.5,11.4,13.4,14.0,13.8,14.0,14.2,13.3,12.6,12.9,13.1,12.1,11.3,11.9,12.2,0.2%
Nitric Acid Production,10.8,10.8,11.1,11.2,11.9,12.0,12.5,12.8,12.6,12.2,11.8,9.6,10.4,9.8,9.7,10.1,9.9,11.7,10.0,8.6,10.3,9.7,9.3,9.5,9.7,10.3,9.0,8.3,8.5,8.9,8.3,7.9,8.6,0.1%
Abandoned Oil and Gas Wells,7.8,7.9,7.9,8.0,8.0,8.1,8.1,8.1,8.1,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.4,8.4,8.4,8.4,8.5,8.5,8.6,8.5,0.1%
Fluorochemical Production,70.9,67.8,72.5,69.8,69.1,71.8,71.3,73.7,85.3,77.4,60.4,46.4,43.3,38.5,36.8,30.0,27.9,30.5,26.6,16.9,17.5,14.6,11.9,10.5,9.6,8.6,6.2,8.2,8.7,9.3,6.9,7.1,7.8,+%
Wastewater Treatment,6.6,6.7,6.9,7.0,7.3,7.2,7.1,7.2,7.3,7.4,7.2,7.1,7.2,7.1,7.1,7.1,7.2,7.4,7.4,7.1,7.2,7.2,7.1,7.1,7.0,7.1,7.3,7.4,7.5,7.6,7.6,7.6,7.7,+%
Urea Consumption for Non-Agricultural Purposes,3.8,3.5,3.9,4.6,4.3,4.3,3.9,3.9,4.8,4.7,4.2,4.1,3.7,3.6,3.7,3.7,3.5,4.9,4.1,3.4,4.7,5.1,4.8,4.6,1.8,4.6,5.3,5.2,6.1,6.2,5.8,6.6,7.1,+%
Abandoned Underground Coal Mines,8.1,8.2,8.9,9.2,10.8,11.0,11.3,10.1,9.2,9.3,9.8,8.9,8.2,8.0,7.7,7.4,7.3,7.1,7.1,7.1,7.4,7.2,7.0,7.0,7.1,7.2,7.5,7.2,6.9,6.6,6.5,6.3,6.3,+%
Mobile Combustion­b,3.6,3.7,3.7,3.7,3.8,3.9,4.0,4.1,4.1,4.1,4.2,4.8,4.9,5.2,5.5,5.6,6.4,5.5,5.4,5.2,5.4,5.3,5.3,5.5,5.3,5.1,5.2,5.4,5.5,5.6,5.3,5.5,5.9,+%
Other Process Uses of Carbonates,3.6,3.2,3.2,3.0,3.2,4.1,4.4,4.3,4.4,4.8,3.3,3.4,3.6,2.9,3.8,4.2,4.8,4.4,3.7,4.7,5.6,5.2,4.7,5.7,6.6,6.3,5.7,5.2,4.0,4.5,4.5,4.3,5.2,+%
Carbon Dioxide Consumption,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.9,1.0,1.4,1.3,1.4,1.8,1.9,1.8,1.8,4.4,4.1,4.0,4.2,4.5,4.9,4.6,4.6,4.1,4.9,5.0,5.0,5.0,+%
Electronics Industry,3.3,3.3,3.3,4.1,4.6,5.7,6.4,6.7,8.2,8.4,7.1,5.0,5.2,5.0,4.7,4.5,4.9,4.5,4.2,3.0,3.9,5.1,4.7,4.3,4.5,4.6,4.6,4.6,4.8,4.5,4.5,4.8,4.7,+%
N2O from Product Uses,3.8,3.7,3.5,3.9,3.9,3.9,3.9,4.2,4.2,4.2,4.2,4.2,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,+%
Stationary Combustionb,4.8,4.7,4.8,4.8,5.0,5.1,5.1,5.2,4.9,4.8,4.9,4.6,4.4,4.3,4.6,4.5,4.6,4.4,4.2,3.6,4.1,4.1,4.1,4.2,4.2,4.1,4.0,3.9,3.9,3.8,3.6,3.6,3.5,+%
Aluminum Production,26.1,23.2,21.8,20.6,18.2,18.0,19.0,17.3,15.1,15.1,15.0,8.0,10.0,8.4,7.2,7.2,6.5,8.4,7.5,4.9,4.5,6.5,6.2,6.1,5.2,4.7,2.6,2.2,2.9,3.3,3.2,2.5,2.2,+%
Adipic Acid Production,13.5,13.2,11.5,12.4,12.0,15.0,14.9,8.4,4.6,4.2,4.7,4.0,4.4,4.8,3.3,6.3,7.6,9.1,2.2,2.4,3.8,9.1,4.7,3.5,4.8,3.8,6.3,6.6,9.3,4.7,7.4,6.6,2.1,+%
Glass Production,2.3,2.1,2.2,2.3,2.3,2.3,2.4,2.5,2.5,2.6,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.2,1.9,2.1,2.1,2.0,2.0,2.0,2.0,2.1,2.0,2.0,1.9,1.9,2.0,2.0,+%
Soda Ash Production,1.4,1.4,1.5,1.4,1.4,1.6,1.6,1.7,1.6,1.5,1.5,1.5,1.5,1.5,1.6,1.7,1.6,1.7,1.7,1.5,1.5,1.6,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.8,1.5,1.7,1.7,+%
Titanium Dioxide Production,1.2,1.2,1.4,1.4,1.5,1.5,1.5,1.7,1.7,1.7,1.8,1.7,1.8,1.8,2.1,1.8,1.8,1.9,1.8,1.6,1.8,1.7,1.5,1.7,1.7,1.6,1.7,1.7,1.5,1.3,1.3,1.5,1.5,+%
Ferroalloy Production,2.2,1.9,2.0,1.9,2.0,2.1,2.2,2.2,2.2,2.2,1.9,1.5,1.4,1.3,1.4,1.4,1.5,1.6,1.6,1.5,1.7,1.7,1.9,1.8,2.0,2.0,1.8,2.0,2.1,1.6,1.4,1.6,1.3,+%
"Caprolactam, Glyoxal, and Glyoxylic Acid Production",1.5,1.4,1.5,1.6,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.6,1.8,1.7,1.9,1.9,1.8,2.0,1.9,1.9,2.0,2.0,1.8,1.9,1.8,1.7,1.5,1.3,1.3,1.2,1.1,1.2,1.3,+%
Magnesium Production and Processing,5.7,5.4,5.6,5.7,5.7,5.9,6.8,6.6,5.9,5.3,3.3,3.1,3.0,3.5,2.9,3.0,3.0,2.7,2.0,1.2,1.4,1.8,1.5,1.4,1.0,1.1,1.2,1.1,1.1,1.0,0.9,1.2,1.2,+%
Zinc Production,0.6,0.8,0.8,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.7,0.7,1.1,1.0,1.0,1.0,1.0,1.2,0.9,1.2,1.3,1.5,1.4,0.9,0.9,0.8,0.9,1.0,1.0,1.0,1.0,0.9,+%
Phosphoric Acid Production,1.5,1.4,1.5,1.3,1.5,1.5,1.6,1.5,1.6,1.5,1.4,1.3,1.3,1.4,1.4,1.3,1.2,1.2,1.1,1.0,1.1,1.2,1.1,1.1,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.8,+%
SF6 and PFCs from Other Product Use,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.2,1.7,1.4,0.8,1.2,1.4,1.0,1.2,1.2,1.0,0.9,0.8,0.7,0.5,0.8,+%
Lead Production,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,+%
Carbide Production and Consumption,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,+%
Agriculture,595.9,587.4,587.5,608.7,612.2,618.1,625.7,610.7,621.0,615.0,607.2,622.4,628.4,627.7,633.5,634.3,638.7,654.9,643.0,639.8,647.1,641.2,624.4,658.5,660.9,657.4,650.4,658.5,683.5,661.0,640.0,645.9,634.0,10.0%
N2O from Agricultural Soil Management,288.8,277.8,275.0,292.0,288.7,287.5,296.9,285.0,291.1,288.1,278.6,295.1,295.3,296.2,304.0,294.1,293.4,303.3,300.2,299.2,302.7,301.4,282.8,324.6,330.1,321.6,307.4,314.0,333.4,315.6,292.1,298.0,290.8,4.6%
Enteric Fermentation,183.1,183.3,188.7,191.4,194.8,199.2,198.0,194.1,192.0,192.2,190.2,189.0,189.4,189.5,186.0,188.2,191.3,194.5,193.8,192.8,190.8,188.3,185.9,184.7,182.5,185.9,191.9,195.9,196.8,197.3,196.3,196.5,192.6,3.0%
Manure Management,52.5,54.5,53.0,54.7,58.3,60.1,59.1,61.4,65.4,65.9,66.5,68.0,69.2,69.5,67.1,70.2,70.9,75.9,73.7,72.3,74.4,75.1,77.4,74.7,74.2,78.5,81.1,82.0,84.3,83.5,83.8,83.6,81.7,1.3%
CO2 from Fossil Fuel Combustion,43.4,42.8,42.9,42.9,43.2,43.1,42.8,43.2,42.3,40.2,39.9,41.2,42.2,43.8,48.8,50.8,54.5,51.9,47.9,46.5,46.6,46.8,48.0,45.8,45.9,41.1,40.2,39.8,39.8,39.7,39.1,39.8,39.3,0.6%
Rice Cultivation,18.9,19.5,19.0,19.1,18.1,19.1,19.7,17.9,20.4,19.0,22.4,19.0,21.5,17.9,17.6,20.6,18.0,18.5,16.4,19.6,21.5,19.4,17.7,18.1,17.6,19.6,19.9,16.7,19.9,15.6,18.6,18.3,18.9,0.3%
Urea Fertilization,2.4,2.3,2.4,2.6,2.7,2.7,2.6,2.7,2.9,3.0,3.2,3.4,3.6,3.7,3.7,3.5,3.7,3.8,3.6,3.6,3.8,4.1,4.3,4.4,4.5,4.7,4.7,4.8,4.9,5.0,5.1,5.2,5.3,0.1%
Liming,4.7,5.0,4.4,3.8,4.1,4.4,4.4,4.3,4.8,4.5,4.4,4.5,5.0,4.6,3.8,4.4,4.2,4.5,5.0,3.7,4.8,3.9,6.0,3.9,3.6,3.7,3.0,3.1,2.2,2.2,2.9,2.4,3.3,0.1%
Mobile Combustionb,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.4,1.6,1.6,2.0,1.7,1.5,1.5,1.5,1.5,1.6,1.5,1.5,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,+%
Field Burning of Agricultural Residues,0.7,0.7,0.7,0.8,0.7,0.6,0.8,0.8,0.7,0.8,0.7,0.7,0.8,1.0,0.9,0.8,0.8,0.8,0.8,0.7,0.9,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,+%
Stationary Combustionb,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+%
Commercial,447.0,454.5,450.0,443.1,446.1,444.5,451.6,442.9,416.3,411.8,425.6,414.1,415.3,431.7,429.1,418.9,404.9,418.4,425.3,428.3,430.6,425.5,406.5,429.2,439.4,451.7,435.6,437.4,453.5,462.6,436.9,443.7,463.7,7.3%
CO2 from Fossil Fuel Combustion,228.3,232.7,228.0,223.0,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229.0,240.1,238.0,227.1,211.8,223.1,227.5,227.7,224.3,224.6,200.4,224.3,232.6,244.8,231.9,232.4,246.3,251.7,229.3,237.5,258.7,4.1%
Landfills (Municipal),185.5,187.9,187.4,184.9,184.3,178.7,174.6,163.7,152.8,145.1,141.2,136.1,134.5,137.0,134.3,131.6,129.1,126.6,124.0,121.5,122.4,112.7,114.0,109.9,109.4,107.8,103.6,105.0,107.7,109.9,105.2,103.1,100.9,1.6%
Substitution of Ozone Depleting Substances,0.0,0.0,0.0,0.3,1.6,2.3,3.4,5.0,6.7,8.4,9.7,11.6,13.7,15.9,18.0,21.4,25.2,29.8,34.9,40.6,45.5,49.6,52.7,55.4,57.6,58.9,59.5,58.9,58.5,59.8,60.8,61.9,62.9,1.0%
Wastewater Treatment,30.9,31.4,32.0,32.1,32.5,32.4,32.6,32.6,33.0,33.6,33.8,33.5,33.6,33.7,33.7,33.6,33.8,33.7,33.5,33.3,33.4,33.7,34.4,34.2,34.3,34.5,34.7,34.7,35.0,35.1,35.6,35.1,35.0,0.6%
Composting,0.7,0.8,0.9,1.2,1.5,1.7,1.9,2.1,2.3,2.6,2.9,2.9,2.9,3.3,3.6,3.6,3.6,3.8,3.8,3.6,3.5,3.6,3.7,3.9,4.0,4.1,4.4,4.7,4.3,4.3,4.4,4.4,4.4,0.1%
Stationary Combustionb,1.5,1.6,1.6,1.6,1.5,1.5,1.6,1.6,1.4,1.4,1.6,1.5,1.5,1.6,1.6,1.5,1.4,1.5,1.5,1.5,1.5,1.5,1.3,1.4,1.5,1.7,1.6,1.6,1.7,1.7,1.6,1.6,1.7,0.0%
Anaerobic Digestion at Biogas Facilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+%
Residential,345.6,355.3,361.8,373.1,363.8,367.3,399.1,380.4,346.5,366.3,387.6,377.8,375.1,393.7,381.9,371.2,334.4,355.3,363.8,353.9,355.0,348.9,306.5,357.2,377.6,350.7,327.0,329.2,376.8,384.2,358.0,369.6,391.3,6.2%
CO2 from Fossil Fuel Combustion,338.6,347.7,354.0,366.1,357.0,353.1,383.5,365.0,331.6,350.9,371.7,363.1,361.1,380.1,369.1,358.9,321.7,341.2,347.9,335.9,334.5,326.3,282.5,329.3,346.7,317.6,293.2,294.0,338.9,342.9,314.8,318.0,334.1,5.3%
Substitution of Ozone Depleting Substances,0.2,0.5,0.5,0.5,0.5,8.0,9.2,10.0,10.1,10.4,10.6,9.9,9.1,8.4,7.6,7.0,7.9,9.0,10.4,12.1,14.4,16.6,19.0,21.6,24.4,27.3,28.8,30.3,31.9,35.1,39.0,47.3,52.2,0.8%
Stationary Combustionb,6.8,7.0,7.3,6.6,6.2,6.2,6.5,5.4,4.8,5.0,5.3,4.8,4.9,5.2,5.2,5.3,4.7,5.1,5.5,5.8,6.1,5.9,5.0,6.3,6.5,5.8,5.1,4.9,6.0,6.2,4.2,4.2,5.0,0.1%
U.S. Territories,23.4,23.5,24.4,25.3,26.8,25.3,24.7,25.3,24.6,24.5,46.5,55.5,54.6,58.5,60.6,59.7,58.0,54.2,43.8,41.8,36.5,35.2,34.2,28.9,29.1,29.3,27.0,26.3,26.3,25.1,23.4,23.9,22.7,0.4%
CO2 from Fossil Fuel Combustion,20.0,19.2,21.9,22.6,24.7,21.5,19.8,20.1,19.4,15.5,37.0,49.7,45.2,50.4,52.9,51.9,51.3,46.6,38.5,39.0,34.5,34.1,33.0,28.1,28.3,28.5,26.2,25.9,25.9,24.8,23.3,23.8,22.6,0.4%
Non-Energy Use of Fuels,3.4,4.3,2.4,2.6,2.0,3.7,4.8,5.1,5.1,8.9,9.3,5.6,9.3,8.0,7.5,7.6,6.5,7.3,5.2,2.7,1.8,1.0,1.2,0.7,0.7,0.7,0.7,0.2,0.2,0.2,0.1,0.1,0.1,+%
Stationary Combustionb,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+%
Total Gross Emissions (Sources),6536.9,6472.7,6576.4,6686.5,6782.6,6862.1,7056.3,7109.0,7179.0,7218.6,7419.9,7287.3,7329.9,7386.9,7492.3,7494.6,7429.2,7529.9,7326.4,6866.9,7066.0,6911.8,6660.9,6845.4,6905.9,6736.2,6580.0,6551.0,6752.7,6590.1,6001.8,6328.8,6343.2,100.0%
LULUCF Sector Net Totalc,-976.7,-989.0,-1007.4,-991.3,-1005.2,-980.2,-1011.2,-985.2,-996.3,-968.5,-983.7,-979.8,-924.8,-957.9,-860.2,-907.7,-951.9,-900.3,-912.8,-850.9,-886.3,-941.7,-929.2,-886.6,-923.7,-820.2,-916.8,-926.0,-915.5,-863.6,-904.4,-910.6,-854.2,-13.5%
Net Emissions (Sources and Sinks),5560.2,5483.7,5569.0,5695.1,5777.4,5881.9,6045.1,6123.8,6182.7,6250.2,6436.2,6307.6,6405.1,6429.0,6632.1,6586.9,6477.2,6629.6,6413.5,6016.0,6179.7,5970.0,5731.7,5958.8,5982.2,5916.0,5663.2,5625.0,5837.3,5726.6,5097.4,5418.2,5489.0,86.5%
+ Does not exceed 0.05 MMT CO2 Eq. or 0.05 percent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Percent of total (gross) emissions excluding emissions from LULUCF for 2022.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Includes CH4 and N2O emissions from fuel combustion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c The LULUCF sector net total is the net sum of all LULUCF CH4 and N2O emissions to the atmosphere plus LULUCF net carbon stock changes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Total gross emissions presented are without LULUCF. Total net emissions are presented with LULUCF. Totals may not sum due to independent rounding. Parentheses indicate negative values or sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
